preset,parameter_count,batch_size,sequence_length,previous_argument_bytes,previous_output_bytes,previous_temporary_bytes,previous_total_bytes,previous_total_gib,previous_measurement,current_argument_bytes,current_output_bytes,current_temporary_bytes,current_total_bytes,current_total_gib,current_measurement,reduction_gib,reduction_ratio,suggested_available_ram_gib
200k,231936,1,2048,2785284,2784492,1788887044,1794456820,1.6712181456387043,compiled,2785284,2784492,63987608,69557384,0.06478036195039749,compiled,1.6064377836883068,25.79822179626537,2.080975452437997
200k,231936,4,2048,2791428,2784492,6689390596,6694966516,6.23517345264554,compiled,2791428,2784492,270803608,276379528,0.25739849358797073,compiled,5.9777749590575695,24.223814855056848,2.3217481169849634
200k,231936,16,2048,2816004,2784492,26759790596,26765391092,24.927212942391634,compiled,2816004,2784492,1085414488,1091014984,1.016086883842945,compiled,23.91112605854869,24.532560491396513,3.2701086048036814
200k,231936,32,2048,2848772,2784492,53520323929,53525957193,49.84993226174265,affine estimate,2848772,2784492,2170821720,2176454984,2.02698165923357,compiled,47.82295060250908,24.59318368010868,4.533727074041963
200k,231936,64,2048,2914308,2784492,107041390596,107047089396,99.69537090137601,affine estimate,2914308,2784492,4341636184,4347334984,4.04877121001482,compiled,95.64659969136119,24.623611888657717,7.060964012518525
200k,231936,128,2048,3045380,2784492,214083523929,214089353801,199.3862481797114,affine estimate,3045380,2784492,8683265112,8689094984,8.09235031157732,compiled,191.29389786813408,24.63885527724368,12.11543788947165
800k,856832,1,2048,10284036,10283244,1830821892,1851389172,1.724240530282259,compiled,10284036,10283244,121667736,142235016,0.13246668130159378,compiled,1.5917738489806652,13.01640920826416,2.1655833516269922
800k,856832,4,2048,10290180,10283244,6908542980,6929116404,6.453242529183626,compiled,10290180,10283244,515909272,536482696,0.4996384456753731,compiled,5.953604083508253,12.915824602849819,2.6245480570942163
800k,856832,16,2048,10314756,10283244,27638235140,27658833140,25.75929569080472,compiled,10314756,10283244,2064531096,2085129096,1.9419277980923653,compiled,23.817367892712355,13.264806094288947,4.427409747615457
800k,856832,32,2048,10347524,10283244,55277824687,55298455455,51.50069990660995,affine estimate,10347524,10283244,4129561688,4150192456,3.865167923271656,compiled,47.635531983338296,13.324311111176094,6.83145990408957
800k,856832,64,2048,10413060,10283244,110557003780,110577700084,102.9835083372891,affine estimate,10413060,10283244,8267504728,8288201032,7.718988724052906,compiled,95.26451961323619,13.341580357072594,11.648735905066133
800k,856832,128,2048,10544132,10283244,221115361967,221136189343,205.9491251995787,affine estimate,10544132,10283244,16535002200,16555829576,15.418817825615406,compiled,190.5303073739633,13.35699841121631,21.273522282019258
3.2m,3286272,1,2048,39437316,39436524,1914707972,1993581812,1.8566677458584309,compiled,39437316,39436524,237011608,315885448,0.29419124871492386,compiled,1.562476497143507,6.31109101296746,2.367739060893655
3.2m,3286272,4,2048,39443460,39436524,7348420612,7427300596,6.917212713509798,compiled,39443460,39436524,1006644888,1085524872,1.0109738186001778,compiled,5.90623889490962,6.842128437200838,3.263717273250222
3.2m,3286272,16,2048,39468036,39436524,29395779588,29474684148,27.450438726693392,compiled,39468036,39436524,4026556056,4105460616,3.8235081508755684,compiled,23.626930575817823,7.179385434396772,6.7793851885944605
3.2m,3286272,32,2048,39500804,39436524,58792258223,58871195551,54.828073411248624,affine estimate,39500804,39436524,8053104280,8132041608,7.573553927242756,compiled,47.25451948400587,7.239411501914194,11.466942409053445
3.2m,3286272,64,2048,39566340,39436524,117585215492,117664218356,109.58334277942777,affine estimate,39566340,39436524,16110919320,16189922184,15.078040011227131,compiled,94.50530276820064,7.267744527659553,20.847550014033914
3.2m,3286272,128,2048,39697412,39436524,235171130031,235250263967,219.09388151671737,affine estimate,39697412,39436524,32221699160,32300833096,30.082495041191578,compiled,189.0113864755258,7.283102057083859,39.60311880148947
6.4m,6441216,1,2048,77296644,77297004,3726647300,3881240948,3.6146873123943806,compiled,77296644,77297004,463511192,618104840,0.5756549909710884,compiled,3.039032321423292,6.279259919724945,2.7195687387138605
6.4m,6441216,4,2048,77302788,77297004,14663286788,14817886580,13.800232280045748,compiled,77302788,77297004,1979730584,2134330376,1.9877500608563423,compiled,11.812482219189405,6.942639596298376,4.484687576070428
6.4m,6441216,16,2048,77327364,77297004,58655244292,58809868660,54.77095829322934,compiled,77327364,77297004,7918877336,8073501704,7.519034393131733,compiled,47.25192390009761,7.2843074561887775,11.398792991414666
6.4m,6441216,32,2048,77360132,77297004,117311187631,117465844767,109.39859297778457,affine estimate,77360132,77297004,15837739672,15992396808,14.89408016949892,compiled,94.50451280828565,7.3451056884881165,20.61760021187365
6.4m,6441216,64,2048,77425668,77297004,234623074308,234777796980,218.65386234596372,affine estimate,77425668,77297004,31680707224,31835429896,29.649054534733295,compiled,189.00480781123042,7.374733048900933,39.06131816841662
6.4m,6441216,128,2048,77556740,77297004,469246847663,469401701407,437.1644010832533,affine estimate,77556740,77297004,63361267800,63516121544,59.15399784594774,compiled,378.0104032373056,7.39027651557452,75.94249730743468
38m,38066432,1,2048,456799236,456800748,5830098948,6743698932,6.280559051781893,compiled,456799236,456800748,1075887768,1989487752,1.8528548553586006,compiled,4.427704196423292,3.389665970660371,4.316068569198251
38m,38066432,4,2048,456805380,456800748,24612208644,25525814772,23.772767532616854,compiled,456805380,456800748,5888865944,6802472072,6.335295803844929,compiled,17.437471728771925,3.7524321308231605,9.919119754806161
38m,38066432,16,2048,456829956,456800748,98448703492,99362334196,92.53838490322232,compiled,456829956,456800748,23555266200,24468896904,22.78843606263399,compiled,69.74994884058833,4.060760670406721,30.48554507829249
38m,38066432,32,2048,456862724,456800748,196897363289,197811026761,184.22587473038584,affine estimate,456862724,456800748,47110510232,48024173704,44.72599709779024,compiled,139.4998776325956,4.118988657258751,57.9074963722378
38m,38066432,64,2048,456928260,456800748,393794682884,394708411892,367.6008543856442,affine estimate,456928260,456800748,94220998296,95134727304,88.60111916810274,compiled,278.99973521754146,4.148941433665141,112.75139896012843
38m,38066432,128,2048,457059332,456800748,787589322073,788503182153,734.3508136952296,affine estimate,457059332,456800748,188441974424,189355834504,176.35136330872774,compiled,557.9994503865018,4.1641345999103265,222.43920413590968
